id,value
id_0,26.42121882612324
id_1,63.10168428481916
id_2,19.953743999386056
id_3,29.53094826112538
id_4,9.276387028069966
id_5,35.851984805428415
id_6,40.28705161210274
id_7,15.730181272911215
id_8,49.49479606922308
id_9,32.826021152067085
id_10,38.89055739665053
id_11,58.99787169573303
id_12,37.75346363440378
id_13,41.44512760004617
id_14,28.388725394322126
id_15,11.969369000012827
id_16,53.47577609226249
id_17,22.86846868118439
id_18,18.589897882518663
id_19,19.083144089048417
id_20,13.760465967628072
id_21,27.71779908376264
id_22,37.50885897498428
id_23,10.313323852707496
id_24,58.918063081447805
id_25,43.95272233421636
id_26,27.685354423773713
id_27,8.426887585550256
id_28,28.733575396305973
id_29,35.05225538264514
id_30,17.81555128857723
id_31,10.817089986212922
id_32,16.0245434279716
id_33,7.0440542630633605
id_34,18.13753712209076
id_35,39.23168922709967
id_36,19.659305104950036
id_37,28.11169706803865
id_38,5.093857303497619
id_39,59.68900281697183
id_40,46.80016946123938
id_41,17.08104112012819
id_42,50.177337544012694
id_43,17.96583682761076
id_44,43.417954500062656
id_45,52.17536041888516
id_46,62.69318467758316
id_47,40.6496124805228
id_48,51.171401991562156
id_49,41.076907454715275
id_50,30.908955467831987
id_51,24.677652833263664
id_52,40.45405636072439
id_53,25.26887375296251
id_54,38.33172214490532
id_55,39.930831576510634
id_56,24.927028037692054
id_57,21.797373408552044
id_58,37.62526162455757
id_59,31.940021930269857
id_60,14.344311711141522
id_61,23.578521943685153
id_62,31.349128008208577
id_63,55.46262432891896
id_64,49.6583599096859
id_65,26.549611913587647
id_66,41.623965124305606
id_67,54.875905119497986
id_68,28.06261677408009
id_69,39.38910859647214
id_70,65.86295965256089
id_71,54.29388420404732
id_72,44.541967514369546
id_73,10.13829437765845
id_74,11.676007180137908
id_75,37.102945007562134
id_76,61.88709930580973
id_77,2.1589791744830262
id_78,45.92738594340247
id_79,40.91234129229683
id_80,7.2147477556715405
id_81,21.537348737322347
id_82,6.575883716279292
id_83,33.49260283883171
id_84,10.205360427665202
id_85,4.321561997622443
id_86,15.133139918007142
id_87,11.02401091388347
id_88,12.775814780574294
id_89,27.27778953517778
id_90,29.592716700239055
id_91,10.314761235661392
id_92,13.328813974303158
id_93,6.606164306615617
id_94,35.81262653027585
id_95,15.657002753470795
id_96,14.71898580573831
id_97,7.569695463398092
id_98,9.689639694779443
id_99,3.147980703724504
id_100,12.00333356944892
id_101,17.787762467409568
id_102,10.156581868869104
id_103,4.326325630882498
id_104,13.343669295565407
id_105,36.401163281347465
id_106,27.170784118610783
id_107,7.4004185605014525
id_108,15.760330692142347
id_109,15.428032372168769
id_110,13.497310002704669
id_111,16.800567550216677
id_112,12.37209183973168
id_113,27.557172645478538
id_114,22.123715900739562
id_115,14.41885309868715
id_116,8.678639296094897
id_117,44.07944189488504
id_118,30.195531122458114
id_119,0.41981832749387826
id_120,0.9113094550920919
id_121,10.792082819671554
id_122,14.64804467222203
id_123,14.517831491232716
id_124,5.497753692365119
id_125,26.093642002227348
id_126,21.17360022430848
id_127,12.299309461401732
id_128,19.554178700037724
id_129,16.95114270619621
id_130,2.9939007545579037
id_131,35.84271650891829
id_132,13.880668111257808
id_133,27.794794771931066
id_134,23.589418935422348
id_135,20.437887123758834
id_136,9.455685854838467
id_137,19.400700912395553
id_138,78.35760903670236
id_139,64.51242351620533
id_140,26.621090903128284
id_141,16.39297415134897
id_142,24.59724795782107
id_143,7.271446065861268
id_144,10.97071761932898
id_145,9.395089319221377
id_146,21.160116860012273
id_147,6.591704373299361
id_148,12.926829488863158
id_149,16.203705854563925
id_150,50.40838529286658
id_151,21.112303563213363
id_152,23.839859373318735
id_153,14.686757759470963
id_154,13.92236048875196
id_155,27.22068916470356
id_156,20.6890509459303
id_157,33.798107843908106
id_158,2.449707204442659
id_159,18.710197573927257
id_160,44.41715945132287
id_161,18.43192085128467
id_162,57.03284819920051
id_163,18.815042821832293
id_164,36.751841820080735
id_165,24.27502695852042
id_166,21.50927464981814
id_167,0.0
id_168,68.04427502188022
id_169,17.51510599637858
id_170,16.894906316039823
id_171,69.49223055984616
id_172,19.910963859886163
id_173,1.4204598490866198
id_174,24.426490428886872
id_175,1.1043612575302717
id_176,5.533939242863607
id_177,19.747478121714696
id_178,20.170437194929818
id_179,20.416617312481854
id_180,43.098610452895045
id_181,26.65235878058451
id_182,29.248131595479855
id_183,11.57686125294964
id_184,7.852961805421954
id_185,41.5655020512835
id_186,37.03278299930314
id_187,32.490512087665614
id_188,15.529338343035189
id_189,21.064244659170352
id_190,13.864363801596586
id_191,13.616127756331093
id_192,32.99191771922819
id_193,80.35455906347464
id_194,29.20619699568891
id_195,11.01347834648081
id_196,62.641586433793634
id_197,14.280585661139549
id_198,18.69433219791118
id_199,23.713107281589984
id_200,126.79829910935031
id_201,26.654123399102083
id_202,58.788208510372066
id_203,4.71831513836673
id_204,63.834298314924695
id_205,34.851005341435744
id_206,16.499388052579
id_207,14.29709917125369
id_208,64.13202520939723
id_209,15.030628316195704
id_210,29.197646202673898
id_211,74.5049071191513
id_212,19.971401091724523
id_213,122.73155290339413
id_214,39.28808937487765
id_215,85.66542333663216
id_216,93.88887613814379
id_217,72.1864514636179
id_218,28.503924872496867
id_219,20.278479354201018
id_220,31.793248896925622
id_221,56.87484949021635
id_222,28.5268661666791
id_223,39.647694691948374
id_224,45.03405220528209
id_225,7.004705629824373
id_226,3.7725176629611723
id_227,70.0361499233267
id_228,27.94712928777163
id_229,0.4445831473825569
id_230,39.80024209937808
id_231,14.48560832195448
id_232,21.118538752969386
id_233,7.953540659557046
id_234,10.884853357420006
id_235,21.0827636349598
id_236,11.47379307218962
id_237,0.0
id_238,21.378106974767633
id_239,0.0
